fila_excel,pedido,identificacion,error
2804,,,cliente no encontrado
2808,,,cliente no encontrado
2809,,,cliente no encontrado
2813,,,cliente no encontrado
2825,,,cliente no encontrado
2835,,,cliente no encontrado
2836,,,cliente no encontrado
2837,,,cliente no encontrado
2838,,,cliente no encontrado
2840,,,cliente no encontrado
2850,,,cliente no encontrado
2860,,,cliente no encontrado
2862,,,cliente no encontrado
2868,,,cliente no encontrado
2871,,,cliente no encontrado
2885,92571.0,12345,cliente no encontrado
